distance,walking_distance,duration,from,to
821,0,298,"['悦港北路', '悦港大道']",解放碑
821,0,298,"['悦港北路', '悦港大道']",江北嘴
821,0,298,"['悦港北路', '悦港大道']",弹子石
1146,0,321,"['悦港大道', '椿萱大道']",解放碑
1146,0,321,"['悦港大道', '椿萱大道']",江北嘴
1146,0,321,"['悦港大道', '椿萱大道']",弹子石
1188,0,324,"['椿萱大道', '中央公园西']",解放碑
1188,0,324,"['椿萱大道', '中央公园西']",江北嘴
1188,0,324,"['椿萱大道', '中央公园西']",弹子石
1158,0,322,"['中央公园西', '鲁家沟']",解放碑
1158,0,322,"['中央公园西', '鲁家沟']",江北嘴
1158,0,322,"['中央公园西', '鲁家沟']",弹子石
956,0,307,"['鲁家沟', '甘悦大道']",解放碑
956,0,307,"['鲁家沟', '甘悦大道']",江北嘴
956,0,307,"['鲁家沟', '甘悦大道']",弹子石
4348,839,1208,"['玉河沟', '园博中心']",解放碑
4348,839,1208,"['玉河沟', '园博中心']",江北嘴
4348,839,1208,"['玉河沟', '园博中心']",弹子石
1575,0,351,"['园博中心', '丹鹤']",解放碑
1575,0,351,"['园博中心', '丹鹤']",江北嘴
1575,0,351,"['园博中心', '丹鹤']",弹子石
1646,0,356,"['丹鹤', '湖霞街']",解放碑
1646,0,356,"['丹鹤', '湖霞街']",江北嘴
1646,0,356,"['丹鹤', '湖霞街']",弹子石
1694,0,360,"['湖霞街', '重光']",解放碑
1694,0,360,"['湖霞街', '重光']",江北嘴
1694,0,360,"['湖霞街', '重光']",弹子石
2681,0,430,"['重光', '和睦路']",解放碑
2681,0,430,"['重光', '和睦路']",江北嘴
2681,0,430,"['重光', '和睦路']",弹子石
1504,0,346,"['和睦路', '人和']",解放碑
1504,0,346,"['和睦路', '人和']",江北嘴
1504,0,346,"['和睦路', '人和']",弹子石
1776,0,366,"['人和', '幸福广场']",解放碑
1776,0,366,"['人和', '幸福广场']",江北嘴
1776,0,366,"['人和', '幸福广场']",弹子石
2436,0,413,"['幸福广场', '冉家坝']",解放碑
2436,0,413,"['幸福广场', '冉家坝']",江北嘴
2436,0,413,"['幸福广场', '冉家坝']",弹子石
800,0,292,"['冉家坝', '大龙山']",解放碑
800,0,292,"['冉家坝', '大龙山']",江北嘴
800,0,292,"['冉家坝', '大龙山']",弹子石
2246,0,399,"['大龙山', '大石坝']",解放碑
2246,0,399,"['大龙山', '大石坝']",江北嘴
2246,0,399,"['大龙山', '大石坝']",弹子石
816,0,297,"['大石坝', '忠恕沱']",解放碑
816,0,297,"['大石坝', '忠恕沱']",江北嘴
816,0,297,"['大石坝', '忠恕沱']",弹子石
1213,0,326,"['忠恕沱', '红岩村']",解放碑
1213,0,326,"['忠恕沱', '红岩村']",江北嘴
1213,0,326,"['忠恕沱', '红岩村']",弹子石
1689,0,359,"['红岩村', '歇台子']",解放碑
1689,0,359,"['红岩村', '歇台子']",江北嘴
1689,0,359,"['红岩村', '歇台子']",弹子石
1711,0,361,"['歇台子', '石桥铺']",解放碑
1711,0,361,"['歇台子', '石桥铺']",江北嘴
1711,0,361,"['歇台子', '石桥铺']",弹子石
1261,0,329,"['石桥铺', '石新路']",解放碑
1261,0,329,"['石桥铺', '石新路']",江北嘴
1261,0,329,"['石桥铺', '石新路']",弹子石
1124,0,319,"['石新路', '巴山']",解放碑
1124,0,319,"['石新路', '巴山']",江北嘴
1124,0,319,"['石新路', '巴山']",弹子石
1874,0,373,"['巴山', '凤西路']",解放碑
1874,0,373,"['巴山', '凤西路']",江北嘴
1874,0,373,"['巴山', '凤西路']",弹子石
2494,0,417,"['凤西路', '重庆西站']",解放碑
2494,0,417,"['凤西路', '重庆西站']",江北嘴
2494,0,417,"['凤西路', '重庆西站']",弹子石
1090,0,317,"['重庆西站', '华岩寺']",解放碑
1090,0,317,"['重庆西站', '华岩寺']",江北嘴
1090,0,317,"['重庆西站', '华岩寺']",弹子石
2040,0,384,"['华岩寺', '华成路']",解放碑
2040,0,384,"['华岩寺', '华成路']",江北嘴
2040,0,384,"['华岩寺', '华成路']",弹子石
915,0,304,"['华成路', '半山']",解放碑
915,0,304,"['华成路', '半山']",江北嘴
915,0,304,"['华成路', '半山']",弹子石
1665,0,358,"['半山', '中梁山']",解放碑
1665,0,358,"['半山', '中梁山']",江北嘴
1665,0,358,"['半山', '中梁山']",弹子石
1888,0,374,"['中梁山', '金建路']",解放碑
1888,0,374,"['中梁山', '金建路']",江北嘴
1888,0,374,"['中梁山', '金建路']",弹子石
1379,0,337,"['金建路', '华岩中心']",解放碑
1379,0,337,"['金建路', '华岩中心']",江北嘴
1379,0,337,"['金建路', '华岩中心']",弹子石
2310,0,404,"['华岩中心', '跳磴']",解放碑
2310,0,404,"['华岩中心', '跳磴']",江北嘴
2310,0,404,"['华岩中心', '跳磴']",弹子石
1119,0,297,"['兰花路', '南湖']",解放碑
1119,0,297,"['兰花路', '南湖']",江北嘴
1119,0,297,"['兰花路', '南湖']",弹子石
1296,0,311,"['南湖', '万寿路']",解放碑
1296,0,311,"['南湖', '万寿路']",江北嘴
1296,0,311,"['南湖', '万寿路']",弹子石
2278,547,1323,"['万寿路', '南坪']",解放碑
2278,547,1323,"['万寿路', '南坪']",江北嘴
2278,547,1323,"['万寿路', '南坪']",弹子石
2991,581,1640,"['南坪', '后堡']",解放碑
2991,581,1640,"['南坪', '后堡']",江北嘴
2991,581,1639,"['南坪', '后堡']",弹子石
2178,0,380,"['后堡', '七星岗']",解放碑
2178,0,380,"['后堡', '七星岗']",江北嘴
2178,0,380,"['后堡', '七星岗']",弹子石
1042,0,291,"['七星岗', '大礼堂']",解放碑
1042,0,291,"['七星岗', '大礼堂']",江北嘴
1042,0,291,"['七星岗', '大礼堂']",弹子石
878,0,278,"['大礼堂', '曾家岩']",解放碑
878,0,278,"['大礼堂', '曾家岩']",江北嘴
878,0,278,"['大礼堂', '曾家岩']",弹子石
754,0,268,"['曾家岩', '鲤鱼池']",解放碑
754,0,268,"['曾家岩', '鲤鱼池']",江北嘴
754,0,268,"['曾家岩', '鲤鱼池']",弹子石
970,0,285,"['鲤鱼池', '红土地']",解放碑
